date,num_validators,num_entities,total_stake_avax,gini_total,gini_own,nakamoto_30,nakamoto_33,nakamoto_50
2021-06-30,970,907,205868778.22941527,89.50589088198225,90.85148559456647,8,11,27
2021-09-30,1032,1001,248256918.04982424,88.87397316173352,89.64563609132419,10,13,29
2021-12-31,1173,1123,233654042.67326653,90.15163039906774,90.75567147824208,10,12,28
2022-03-31,1383,1187,218485063.5820446,89.58654769333387,90.14334720532418,15,17,35
2022-06-30,1315,1116,245544169.25674602,88.06501504654261,89.06060832785153,19,21,40
2022-09-30,1236,1078,262690284.77285492,88.4244220948726,89.76597467878845,15,17,34
2022-12-31,1197,944,263246394.5913,91.50338502853833,93.11009101136591,11,13,24
2023-03-31,1267,947,264176636.02422178,91.19266326920457,92.86666910833516,11,13,24
2023-06-30,1253,1079,268249280.61439568,87.40869582924816,89.56976176864082,18,21,39
2023-09-30,1294,1018,236602126.83259657,86.85205065453809,88.784991581471,17,20,38
2023-12-31,1677,1049,262823220.59790128,86.8154151290577,88.73870894850825,23,25,41
2024-03-31,1735,988,242974322.29011783,86.1802896228737,88.6410122016941,20,22,39
2024-06-30,1572,998,255787691.47779572,85.22111323741554,88.69089443194581,21,24,42
2024-09-30,1451,959,241311121.23555058,85.24144248292546,88.17270503001927,22,24,43
2024-12-31,1472,885,209584106.40402877,85.13032043380436,87.55907306222804,19,22,40
2025-03-31,1421,816,218053899.49182925,84.05896260029242,86.70670536918223,17,20,39
2025-06-30,1434,753,221653829.1761386,82.93747741582203,86.22257422618243,17,19,39
2025-09-30,914,593,190979217.51443532,81.2220863850647,84.48245687037691,14,16,33
2025-12-09,829,597,209724663.70136955,79.4276313493984,82.46490213249477,15,18,37
2026-01-31,753,563,232274774.14231914,80.6627422526759,82.5315891046297,11,13,30
